"","X","plt","entropyRank.rank","entropyRank.score","topRank.rank","topRank.score","vine","verified_purchase","two_sides"
"69",69,"R1VTV0AKB52C9H",1880,0.358250865,3642,0.015593922,"N","y","1"
"70",70,"R1V4NOB6BPAQP7",31318,0,31318,0,"N","y","1"
"71",71,"RJRW0RDNSZ6I1",14885,0.040547063,14914,0.001056264,"N","y","1"
"72",72,"R6TDV0VZY8MJ2",22159.5,0.03118023,22164.5,0.000816298,"N","y","1"
"73",73,"R19QC4I6XAFVRT",23503.5,0.030080805,23508.5,0.000788094,"N","y","0"
"74",74,"R5QPK9FEGOJMS",3325.5,0.350270632,4593.5,0.015581503,"N","y","1"
"75",75,"R3ATL80Z74M7OG",31318,0,31318,0,"N","y","1"
"76",76,"R7GF4Y91VF0QF",26897,0.022019853,26899,0.000580562,"N","y","0"
"77",77,"R2UB31YAU4O9TO",6177,0.275837975,673,0.020367886,"N","y","1"
"78",78,"R1JPB4C7WUPASJ",21194,0.032633066,21199,0.000853544,"N","y","1"
"79",79,"R2O4W8PM98H3XE",28259.5,0.018034041,28261.5,0.000477236,"N","y","1"
"80",80,"RAKZYMW6TR3GS",26355.5,0.023208366,26358.5,0.000611267,"N","y","1"
"81",81,"R1X47WDNBT4OHZ",7753,0.183799555,7868,0.007962035,"N","n","1"
"82",82,"R1BHICCLA0TLA3",22498,0.030754407,22503,0.000805376,"N","y","1"
"83",83,"R22CALOXJCOQOZ",15428.5,0.050033951,15457.5,0.001043117,"Y","n","1"
"84",84,"R3MUY94GYQOVXT",31318,0,31318,0,"N","y","1"
"85",85,"RX4KK6EUQL2UU",14962,0.040518825,14991,0.00105554,"N","y","0"
"86",86,"R2XBF2DRY15JIU",12850.5,0.042136389,12886.5,0.001097,"N","y","1"
"87",87,"R2NIAGVHHIJBYH",28440,0.017241059,28444,0.000456606,"N","y","1"
"88",88,"R3NYBF74UO3OLT",26897,0.022019853,26899,0.000580562,"N","y","1"
"89",89,"R1PR84OBE7Q3KM",31318,0,31318,0,"N","y","1"
"90",90,"R1EESPDTO6C4EE",19886,0.035149353,19891,0.000918012,"N","y","0"
"91",91,"R3PLPPJMD961Z0",13096,0.041964576,13131,0.001092595,"N","y","0"
"92",92,"R8X1RMK5JDGKM",25188.5,0.026618901,25193.5,0.000699153,"N","y","1"
"93",93,"RIGRO8YAV5XL6",1678,0.35885788,3501,0.015594973,"N","y","1"
"94",94,"R1Q31WY7K8V9JI",5075,0.324848439,2761,0.015716231,"N","y","1"
"95",95,"R19CPR1IAL5XFP",22498,0.030754407,22503,0.000805376,"N","y","0"
"96",96,"R6SBBM9ZB8U9W",9393.5,0.044566114,9436.5,0.001159334,"N","y","1"
"97",97,"RUYUENHPSLBUL",10396.5,0.053824781,10438.5,0.001140306,"Y","n","1"
"98",98,"R2ULR8J582ZZ07",21647,0.032100644,21652,0.000839897,"N","y","1"
"99",99,"R1F9U7LHF7K0TZ",1137,0.360373421,3149,0.015597663,"N","y","1"
"100",100,"RHF4JD5B0L6D0",23503.5,0.030080805,23508.5,0.000788094,"N","y","0"
"101",101,"RJ4HTF6UC3JGC",18759,0.036695871,18770,0.000957619,"N","y","1"
"102",102,"R1D72NF092PCWS",27390,0.021149155,27391,0.000558039,"N","y","0"
"103",103,"RGVZGNOFRC020",23162,0.030236537,23167,0.00079209,"N","y","1"
"104",104,"R1506FPZA7NAQR",31318,0,31318,0,"N","y","1"
"105",105,"R187LAPCJM7V4J",4224.5,0.340868055,2629.5,0.015726818,"N","y","1"
"106",106,"R36VT59GYKQGCS",14943,0.040526893,14972,0.001055747,"N","y","0"
"107",107,"R2MZ0FT53TI9TL",31318,0,31318,0,"N","y","1"
"108",108,"R207IJ21PGITYM",13804,0.041456048,13839,0.001079559,"N","y","1"
"109",109,"R2CK11D0ILQMVU",23503.5,0.030080805,23508.5,0.000788094,"N","y","0"
"110",110,"R399N16CXG9PT2",27390,0.021149155,27391,0.000558039,"N","y","0"
"111",111,"R1PLCZJDZBCRD9",26180.5,0.023676285,26183.5,0.000623344,"N","y","0"
"112",112,"R1YTXAE8T6UW7C",24633.5,0.027926159,24638.5,0.000732766,"N","y","0"
"113",113,"R49CM7C5YRR97",11683,0.042964904,11721,0.001118246,"N","y","1"
"114",114,"R1XV1I003MONZH",15557.5,0.039944894,15586.5,0.001040835,"N","y","1"
"115",115,"R1H4LZNN7KLR95",15407,0.040082506,15436,0.001044361,"N","y","1"
"116",116,"R16USAHLLXL1G",20619,0.033835497,20625,0.000884356,"N","y","1"
"117",117,"R1V6FYMJU478XS",24240.5,0.028540175,24245.5,0.000748541,"N","y","1"
"118",118,"R1LACW8CHA9EFR",29500.5,0.011607509,29500.5,0.000309227,"N","y","1"
"119",119,"R3QA1QFU9S539H",27275,0.021172264,27276,0.000558637,"N","y","1"
"120",120,"R2UITL03LISL5B",21754,0.031733189,21759,0.000830477,"N","y","0"
"121",121,"R3FG3MTAK0NEOM",23162,0.030236537,23167,0.00079209,"N","y","1"
"122",122,"R2FRB34VLWCLYY",556,0.362064484,1991,0.01575655,"N","y","1"
"123",123,"R316MKHZLAM8SU",28016.5,0.018784541,28018.5,0.000496737,"N","y","1"
"124",124,"R3UDNY7MS25YUK",24633.5,0.027926159,24638.5,0.000732766,"N","y","0"
"125",125,"R36TL21WUOSB62",30041,0.006810792,30041,0.000182441,"N","y","1"
"126",126,"R3HVP5OZQEH6UK",18839,0.036563464,18850,0.000954228,"N","y","1"
"127",127,"R1UU61RBM66JSV",6422,0.267331902,6641,0.010748835,"Y","n","1"
"128",128,"RA5LX3D3TMOXL",22498,0.030754407,22503,0.000805376,"N","y","0"
"129",129,"R3JGMZZGZ157VL",21515,0.032156108,21520,0.000841319,"N","y","1"
"130",130,"RGUZZC439RSE0",26595.5,0.012304234,26597.5,0.000587913,"N","n","1"
"131",131,"R3VNDUASP6N0Z9",31318,0,31318,0,"N","y","1"
"132",132,"RD8D4BH6JSOVK",9851.5,0.054227407,9894.5,0.001150639,"Y","n","1"
"133",133,"R1GHTPX91G2NAU",19886,0.035149353,19891,0.000918012,"N","y","0"
"134",134,"R3U9MSW3FCB3KK",21194,0.032633066,21199,0.000853544,"N","y","1"
"135",135,"R2QP950SX68QYZ",10222.5,0.043943303,10265.5,0.001143348,"N","y","0"
"136",136,"R207XVWE53FV0O",25862.5,0.024454042,25865.5,0.000643403,"N","y","1"
"137",137,"R3H4UAA6ZKS3NB",21880,0.03169468,21885,0.000829489,"N","y","1"
"138",138,"R1T0RWN3BW405D",17881,0.037615374,17901,0.000981167,"N","y","1"
"139",139,"R1NM7MWCXHF2R9",3491,0.348612307,2525,0.015735609,"N","y","1"
"140",140,"RJ4C4FY7HHY9H",25862.5,0.014454042,25865.5,0.000643403,"N","n","1"
"141",141,"R3SKWR23KH1QPA",21515,0.032156108,21520,0.000841319,"N","y","0"
"142",142,"R1VFE2X5RAPWZ",29049,0.014107012,29051,0.000374803,"N","y","0"
"143",143,"R1MLIC8RWA5SQU",31318,0,31318,0,"N","y","1"
"144",144,"R1ZRF2TKBU3QHG",27390,0.021149155,27391,0.000558039,"N","y","1"
"145",145,"R2UBE6B90YYGJ6",1814,0.358430813,3600,0.015594232,"N","y","1"
"146",146,"R36J7XQGK773PO",19481,0.035828967,19487,0.000935418,"N","y","1"
"147",147,"RZPYFNFRDVJC2",27892,0.019301225,27893,0.00051015,"N","y","1"
"148",148,"R3DJXEPP8M7OV1",13088,0.051972572,13123,0.0010928,"Y","n","1"
"149",149,"R210GWU074SB0R",19995,0.034923516,20000,0.000912227,"N","y","1"
"150",150,"R3RI44VDBL7VV2",19936,0.0350072,19941,0.000914371,"N","y","0"
"151",151,"R1L1XEPY4VKLQS",22498,0.030754407,22503,0.000805376,"N","y","0"
"152",152,"R1M07XWDQ6WX7P",28324.5,0.017345803,28328.5,0.000459332,"N","y","1"
"153",153,"R1ZIYV52FN6JR3",29905,-0.001896946,29905,0.000216728,"N","n","1"
"154",154,"R3QRN258JRPJKZ",19858.5,0.035207847,19863.5,0.00091951,"N","y","0"
"155",155,"RRMBIV919OM0G",5466,0.31641827,5759,0.015557397,"N","y","1"
"156",156,"R22VIDOXE2PYLS",5466,0.31641827,5759,0.015557397,"N","y","1"
"157",157,"R2D99YJ18OUBRU",26040.5,0.024395415,26043.5,0.000641891,"N","y","0"
"158",158,"R1W7BTEX3JEZMH",16541.5,0.039088165,16565.5,0.001018888,"N","y","1"
"159",159,"R2U055A6I1X225",28626,0.016246506,28630,0.000430694,"N","y","1"
"160",160,"R3F1WC765VILDD",31318,0,31318,0,"N","y","1"
"161",161,"R2K6WNOJGM7LB4",23162,0.030236537,23167,0.00079209,"N","y","0"
"162",162,"R1MCHN8CAET370",22150.5,0.031205997,22155.5,0.000816958,"N","y","1"
"163",163,"R11O7ENEWWLLH3",27767.5,0.020035141,27768.5,0.000529184,"N","y","1"
"164",164,"RB2LW61J0SOH7",21163,0.03264582,21168,0.000853871,"N","y","1"
"165",165,"R9SCI80QUSW9K",16647.5,0.048990417,16671.5,0.001016385,"Y","n","1"
"166",166,"R1JV41KM7KTIDP",25779,0.024832249,25782,0.000653151,"N","y","1"
"167",167,"RGAFV01913DK8",26897,0.022019853,26899,0.000580562,"N","y","0"
"168",168,"R1TAYGEI12BB2P",22002.5,0.031527687,22007.5,0.000825208,"N","y","1"
"169",169,"R2JCLV2VBASA0D",26897,0.022019853,26899,0.000580562,"N","y","1"
"170",170,"R1YVIVFA1H4AH6",20375.5,0.034222899,20380.5,0.00089428,"N","y","0"
"171",171,"R347OYE5NGYX2R",26296,0.023612781,26299,0.000621705,"N","y","0"
"172",172,"RHXHE5PZ138KX",8039.5,0.176927814,8099.5,0.007924356,"N","y","1"
"173",173,"R3M0WYRHB0X911",4806,0.331339042,1088,0.017010131,"N","y","1"
"174",174,"R38XQFY2FM50T6",24892,0.027873403,24897,0.00073141,"N","y","1"
"175",175,"RPQX8U7TZ2JPB",3139,0.351692939,4484,0.015583528,"N","y","1"
"176",176,"R24K26HS4HRTZI",17301,0.038234852,17323,0.000997032,"N","y","1"
"177",177,"R2J8G406040BNS",17660,0.037870034,17680,0.000987689,"N","y","1"
"178",178,"R2VG5HFLMOI9SN",30426,0.002791529,30426,7.51e-05,"N","y","1"
"179",179,"R3NY2QGY1RPPQG",6481,0.256448507,6690,0.010746427,"N","y","1"
"180",180,"R239WG6NZNVP7J",3783,0.346510998,1448,0.016312503,"N","y","1"
"181",181,"R3MJ1HRSNHKFLJ",9176.5,0.054754858,9220.5,0.00116418,"Y","n","1"
"182",182,"R2ZDX4VBVP18RX",9199.5,0.054739138,9243.5,0.001163776,"Y","n","1"
"183",183,"R1UBJXGXL32M3U",22498,0.030754407,22503,0.000805376,"N","y","1"
"184",184,"R2M2LJ7GISCJZ4",8673.5,0.055362887,8719.5,0.001179794,"Y","n","1"
"185",185,"R5ZGQKKWM8EZK",6429,0.267222223,6648,0.010748533,"Y","n","1"
"186",186,"R3Q1FG7H6RV3PX",468,0.372742502,1955,0.0157578,"Y","n","1"
"187",187,"R1LU6MAM378SEH",4391,0.338438123,5230,0.015567779,"N","y","1"
"188",188,"R3272AX2WU9XI8",5466,0.31641827,5759,0.015557397,"N","y","1"
"189",189,"R25JPULLFQ7YPQ",23162,0.030236537,23167,0.00079209,"N","y","0"
"190",190,"R7NWIOCA5RVPR",5914,0.300385781,447,0.025976314,"Y","n","1"
"191",191,"R19FEVT1FQGVEA",21515,0.032156108,21520,0.000841319,"N","y","1"
"192",192,"R1334SZ1MRLOV1",10565.5,0.043710128,10605.5,0.001137364,"N","y","1"
"193",193,"REZY6JGJ99RDZ",31318,0,31318,0,"N","y","1"
"194",194,"RTKNIPZHVDFQW",26897,0.022019853,26899,0.000580562,"N","y","0"
"195",195,"RYDDWEFO1455V",7322,0.202787806,7481,0.007991368,"N","y","1"
"196",196,"R4RV6DTH4PTJA",1991.5,0.357831579,2270.5,0.015749174,"N","y","1"
"197",197,"R1HI1ZGO71ZCZ7",20534.5,0.033924016,20540.5,0.000886624,"N","y","1"
"198",198,"R29JDZDNRBCLAS",27640.5,0.020258702,27641.5,0.000534978,"N","y","1"
"199",199,"R1IEQJ6F4A6VKO",8766,0.04519443,8811,0.001175467,"N","y","1"
"200",200,"RUG3DDTLTMQG1",27390,0.021149155,27391,0.000558039,"N","y","1"
"201",201,"RCY2135PRE9JT",18448,0.036976851,18460,0.000964815,"N","y","1"
"202",202,"R3M90DCSHBOWIQ",20728.5,0.033463975,20734.5,0.000874837,"N","y","0"
"203",203,"R1WH2H57EIAU7E",4753,0.332261207,1063,0.017207478,"N","y","1"
"204",204,"R2RH9KLFJQKLUB",31318,0,31318,0,"N","y","1"
"205",205,"R339QLE6WNVRB7",21880,0.03169468,21885,0.000829489,"N","y","1"
"206",206,"R2B9QG5L6SRRKU",1506,0.369403039,3385,0.01559593,"Y","n","1"
"207",207,"RLBHOI5D7LZN8",8960.5,0.054947314,9005.5,0.001169121,"Y","n","1"
"208",208,"RPSB8A2MPWMKT",10528,0.043741765,10569,0.001138176,"N","y","1"
"209",209,"R2BCC54Z1728KE",29300,0.012796893,29300,0.000340471,"N","y","1"
"210",210,"R1EXTDLM1DGFS",2897.5,0.353395121,4325.5,0.015586059,"N","y","1"
"211",211,"R1O1F7FXVKWKHO",6266,0.280352576,6045,0.013945605,"Y","n","1"
"212",212,"R9SYX5GRRW5VU",7840,0.199819057,7934,0.007951108,"Y","n","1"
"213",213,"R3680KPSRU144J",19678.5,0.035470785,19683.5,0.000926244,"N","y","1"
"214",214,"R1R3GIK98PJKXC",7177,0.194951404,7268,0.008278865,"N","n","1"
"215",215,"R273B5V02ATC55",18050,0.037446736,18065,0.000976848,"N","y","1"
"216",216,"R2ZEP7M26ULTB",31318,0,31318,0,"N","y","1"
"217",217,"R1V0QYK52DC7LC",617,0.36180465,2839,0.01560029,"N","y","1"
"218",218,"R3GZRC0SV9KEUG",20085,0.034856535,20090,0.000910511,"N","y","0"
"219",219,"R1Y4GQ0H81YIET",8713,0.045292391,8759,0.001177983,"N","y","1"
"220",220,"R2BX3EK1PH98LB",4304,0.340008363,5184,0.015569279,"N","y","1"
"221",221,"RVVD40C36Q50N",16936.5,0.0386968,16959.5,0.001008864,"N","y","1"
"222",222,"R2FSGPRB45J8K8",6717,0.249271235,6865,0.010728615,"N","y","1"
"223",223,"R2TU2M9ODDYSIZ",15724,0.039835528,15752,0.001038033,"N","y","1"
"224",224,"R1B0RWNKK0FP61",8414,0.126507402,7218,0.00956317,"N","y","1"
"225",225,"R1H1VYSIGIND73",10235.5,0.053931455,10278.5,0.001143044,"Y","n","1"
"226",226,"R3UIE5LA6NLA3D",23162,0.030236537,23167,0.00079209,"N","y","0"
"227",227,"RM6B1HYRNT79M",25155,0.02667214,25160,0.000700523,"N","y","1"
"228",228,"R3C4T6SCRAKR58",28685.5,0.015669192,28689.5,0.000415634,"N","y","1"
"229",229,"R3LP5IWK66E8Y7",19911.5,0.035090836,19916.5,0.000916513,"N","y","1"
"230",230,"R1KMAUA78ITFU1",17644.5,0.037886449,17664.5,0.00098811,"N","y","1"
"231",231,"R3CUR1CL71HWTB",11181,0.043286403,11220,0.001126493,"N","y","0"
"232",232,"R2TR30HBEZLJUS",31318,0,31318,0,"N","y","1"
"233",233,"R2UAKL912JZ63U",20870.5,0.033396324,20876.5,0.000873104,"N","y","0"
"234",234,"R2QGRRY5GGQIOT",29544,0.011128577,29544,0.000296626,"N","y","1"
"235",235,"RGMCGHXV7A8RY",22498,0.030754407,22503,0.000805376,"N","y","0"
"236",236,"R2HWIG82MLBIXZ",21515,0.032156108,21520,0.000841319,"N","y","0"
"237",237,"R1TB50UUBFS3A0",18907,0.036447512,18918,0.000951259,"N","y","1"
"238",238,"R1JKXNK0RN1EIL",15651,0.039876043,15680,0.001039071,"N","y","1"
"239",239,"RI8MLX2UIJEZU",24633.5,0.027926159,24638.5,0.000732766,"N","y","0"
"240",240,"R2S8YOX0S264S2",5875,0.293163798,6003,0.014376939,"N","y","1"
"241",241,"R1KFKEPWJJBO7V",23162,0.030236537,23167,0.00079209,"N","y","1"
"242",242,"R1E6O5NPDOELVG",18537.5,0.036956208,18549.5,0.000964286,"N","y","1"
"243",243,"R12ZN7PRTLVOG4",21376,0.032194493,21381,0.000842303,"N","y","1"
"244",244,"R2W7CLG17TURB9",13054,0.041992558,13089,0.001093312,"N","y","0"
"245",245,"R13ZUH6W7GNTTI",11796.5,0.042881449,11834.5,0.001116106,"N","y","0"
"246",246,"R1IMDHNZGXYY4D",22498,0.030754407,22503,0.000805376,"N","y","0"
"247",247,"R39QJB50NMGU41",30539.5,0.001403786,30539.5,3.79e-05,"N","y","1"
"248",248,"RR5W1C13LUJ1C",9437,0.054534635,9480,0.001158526,"Y","n","1"
"249",249,"R2XVPEW5JWA7AP",17932,0.027479655,17947,0.000977691,"N","n","1"
"250",250,"R2AWTYZ43AR28N",2832.5,0.353832079,4283.5,0.015586727,"N","y","1"
"251",251,"R23628CKGV10AK",919.5,0.360929293,3010.5,0.015598673,"N","y","1"
"252",252,"RICRO0QP1FGKN",16341.5,0.039303807,16365.5,0.001024412,"N","y","1"
"253",253,"R2ET1A8LOF7J56",22498,0.030754407,22503,0.000805376,"N","y","1"
"254",254,"R1QDB4DKGTCLQG",24240.5,0.028540175,24245.5,0.000748541,"N","y","1"
"255",255,"RWBMUZGYJ803Q",24633.5,0.027926159,24638.5,0.000732766,"N","y","1"
"256",256,"R2TX0BE5LNN8S0",19995,0.034923516,20000,0.000912227,"N","y","1"
"257",257,"R1ZPVD3PJCOXS5",21312.5,0.042433106,21317.5,0.000848419,"Y","n","1"
"258",258,"R1NAFRGI2EQW79",28355.5,0.017326765,28359.5,0.000458837,"N","y","1"
"259",259,"R9TC8HPZ4DTGF",15289.5,0.040163397,15318.5,0.001046433,"N","y","1"
"260",260,"R2U173ORAYMBIL",24195.5,0.02871511,24200.5,0.000753034,"N","y","1"
"261",261,"R32LLHBVBFUQY4",25958.5,0.024399926,25961.5,0.000642008,"N","y","0"
"262",262,"R31M7EJT4TMHFX",31318,0,31318,0,"N","y","1"
"263",263,"R3VJX4N2SLG0CP",18200.5,0.037228462,18213.5,0.000971258,"N","y","0"
"264",264,"R2FPQ92K24UNVX",24633.5,0.027926159,24638.5,0.000732766,"N","y","1"
"265",265,"R1I1MIX2QITKEY",25244,0.026565641,25249,0.000697783,"N","y","1"
"266",266,"R7DGK9I2XDQ72",4082.5,0.343037171,5059.5,0.015572451,"N","y","1"
"267",267,"RXXG1R9SUIMM4",31318,0,31318,0,"N","y","1"
"268",268,"R228TJT2VMBC0Z",23162,0.030236537,23167,0.00079209,"N","y","0"
"269",269,"R2I6PFWHZW9PHL",1406,0.359692777,3316,0.015596443,"N","y","1"
"270",270,"R3N8K09VRRNMUE",18907,0.036447512,18918,0.000951259,"N","y","1"
"271",271,"R2SJEJIV95IZ76",31318,0,31318,0,"N","y","1"
"272",272,"R3H3TMOI1A270W",22498,0.030754407,22503,0.000805376,"N","y","0"
"273",273,"R31E3XA6RNPRQ6",13911,0.041363779,13945,0.001077194,"N","y","1"
"274",274,"R2TW4FSXQ60M75",30426,0.002791529,30426,7.51e-05,"N","y","1"
"275",275,"R2W7Z63EKT2DV0",2598,0.355156166,2361,0.015744887,"N","y","1"
"276",276,"R3BK355PT51Z9N",13693,0.041516195,13728,0.001081101,"N","y","1"
"277",277,"R2DWGQKFHRHIAA",14574,0.040796951,14604,0.001062667,"N","y","1"
"278",278,"RWE322P2UWVFF",27390,0.021149155,27391,0.000558039,"N","y","1"
"279",279,"R14TJUOG8P90JC",28133.5,0.018331929,28135.5,0.000484979,"N","y","1"
"280",280,"R3F1BEEFLSEB9",1230,0.360132834,2135,0.015753093,"N","y","1"
"281",281,"R5RT5T7OL37NR",30194.5,0.005405393,30194.5,0.000145039,"N","y","1"
"282",282,"R15121XDJ0ZIHH",11757.5,0.052913246,11795.5,0.001116921,"Y","n","1"
"283",283,"R2PE3TZXSV3DF",4729.5,0.332703171,5424.5,0.015563139,"N","y","1"
"284",284,"R35TQMIS4SHJ4O",4462.5,0.337567425,5270.5,0.015566989,"N","y","1"
"285",285,"R34L4H8TBEA35M",31318,0,31318,0,"N","y","1"
"286",286,"R2VM4AYAQA8VQ",9034.5,0.054876642,9079.5,0.001167307,"Y","n","1"
"287",287,"R1GFM41CZLHSFD",20453,0.034155598,20458,0.000892556,"N","y","1"
"288",288,"R1F6HULQSTFSXG",29969,0.007692645,29969,0.000205849,"N","y","1"
"289",289,"R11PPUKKJRTLNM",17237,0.038320806,17260,0.000999234,"N","y","1"
"290",290,"R1U5TN3CQMA3E8",26246.5,0.023617318,26249.5,0.000621822,"N","y","0"
"291",291,"R5B9C1ZJYZBUK",24633.5,0.027926159,24638.5,0.000732766,"N","y","1"
"292",292,"R30IT42Y73N1CH",5304,0.318984429,2783,0.015715019,"N","y","1"
"293",293,"RUBTJESA3UCTU",31318,0,31318,0,"N","y","1"
"294",294,"RT0J7C76EBK2J",19158,0.03616969,19167,0.000944144,"N","y","1"
"295",295,"R2W4B15LHXE9VQ",18787,0.03667519,18798,0.000957089,"N","y","1"
"296",296,"R3LW4NAUWYYNIP",26897,0.022019853,26899,0.000580562,"N","y","1"
